Criado;Tipo de item;Resumo Composto;Descrição
08/03/2024 07:41;Melhoria;Atende - Customização de formulários;"Desenvolver possibilidade do usuário administrador configurar formulários de solicitação de serviços através de parâmetros.

Os parâmetros devem ser seções e campos dos formulários. Exemplo, tenha seção de dados pessoais, dentro da seção possui uma lista de campos que o usuário pode escolher para compor ou não."
11/03/2024 17:23;Melhoria;Interface Cidadão - Publicar banner do Poupa tempo no Portal RJ;
14/03/2024 17:08;Melhoria;Interface Cidadão - Alertas para falta de acesso nos serviços ou aberturas de solicitações/agendamento;Solução de monitoramento de acesso nas páginas dos serviços da plataforma que gere alertas por sms e e-mail quando não ocorrer acesso dentro de dias e períodos de horários configurados. Exemplo: Páginas de serviços sem acesso durante 1h de segunda a sexta nos horários 8h-17h
21/03/2024 06:32;Melhoria;Interface Cidadão - Acessar o serviço pela carta de serviço pelo IOS no navegador Safari;
21/03/2024 18:53;Melhoria;Mensageria - Corpo do e-mail com duas opções de URL;"# Botão com url para cidadão retornar ao Portal e que ele encontrasse o acesso a solicitação.
# Uma URL link que seria da chamada ficaria no corpo do e-mail"
28/03/2024 18:22;Melhoria;Interface Cidadão - Alterar mensagem de serviço sem grade de agendamento;"Alterar a mensagem de serviço sem grade de agendamento conforme abaixo:
""O serviço selecionado não possui agenda disponível no momento.
Por favor, tente novamente mais tarde!""

!WhatsApp Image 2024-03-28 at 8.22.57 AM.jpeg|width=802,height=1600,alt=""WhatsApp Image 2024-03-28 at 8.22.57 AM.jpeg""!"
28/03/2024 16:03;Melhoria;Integração - Diário de Bordo - Incidentes no Portal RJ;"* [@Eduardo Soares de Oliveira|mailto:eduardo.oliveira@shopcidadao.com.br] enviar endereço do local onde serão registrados os incidentes exclusivos para este trabalho.
* [@Eduardo Soares de Oliveira|mailto:eduardo.oliveira@shopcidadao.com.br] liberar acessos para as pessoas que ainda não tem acesso ao diário de bordo de incidentes do Portal RJ.
* [@Eduardo Soares de Oliveira|mailto:eduardo.oliveira@shopcidadao.com.br] verificar com [@Fausto Manuel Tulengano|mailto:fausto.tulengano@shopcidadao.com.br] sua proposta de colocar um recurso de sua equipe dedicado para monitorar o portal."
25/04/2024 11:48;Melhoria;Interface Cidadão - Pop-up, Página e template e-mail  sugerindo para o cidadão baixar o app quando o mesmo estiver acessando pelo celular.;[https://www.figma.com/file/TFTgfYU1VQ7FcEOWtZPpHL/%5BSQUAD-1%5D-Inova-RJ---UI%3A-Portal-RJ.GOV?type=design&node-id=1385%3A1055&mode=design&t=rqDWgoZ5uVPCZ03a-1|https://www.figma.com/file/TFTgfYU1VQ7FcEOWtZPpHL/%5BSQUAD-1%5D-Inova-RJ---UI%3A-Portal-RJ.GOV?type=design&node-id=1385%3A1055&mode=design&t=rqDWgoZ5uVPCZ03a-1|smart-link]
21/03/2024 20:38;Melhoria;Mensageria - Possibilitar que cidadão com aplicativo Outlook consiga abrir o link do botão do e-mail;
22/03/2024 09:07;Melhoria;Atende - Cancelamento de agendamentos com customização da mensagem de e-mail;"Desenvolver uma funcionalidade vinculada a um recurso para que os usuários administradores funcionais possam selecionar um agendamento ou selecionar todos os agendamentos feitos pelos cidadãos. Com opção de pesquisar por período de datas e horas, unidade, serviço, órgão, número do agendamento e cpf do cidadão. 

Ao executar o cancelamento deverá abrir uma tela para o administrador descreve o conteúdo do texto com possibilidade de personalização através de um identificador (exemplo, #idcita#). 

Este texto deverá ser inserido em um template pré configurado com as identidades visuais. Ao clicar em enviar, deverá apresentar uma mensagem de confirmação. 

Nesta execução, ao invés de enviar o e-mail padrão de cancelamento quando ocorre pelo cidadão deverá enviar o e-mail deste processo."
27/03/2024 09:29;Melhoria;Director - Incluir a informação do canal nos relatórios do director;"{quote}Incluir a opção ""Canal"" em filtro globais do Director. (Menus Relatório GA e Backoffice).
Incluir a coluna ""Canal"" nos relátorios:{quote}

* Backoffice>Relatório>Quantidade de serviços por tipo de finalização
* Relatório GA>Satisfação do atendimento>Detalhe das avaliações por senha
* Relatório GA>Serviços>Quantidade de serviços por tipo de finalização
* Relatório GA>Panorama de senhas>Agendamentos"
03/05/2024 14:17;Tarefa;OCR - Acompanhamento | OCR - QUIPUX;
28/03/2024 15:36;Tarefa;Mar/24 - 2 Novos Serviços Assíncronos - Avaliar os impactos e o que precisa feito pelo lado da Quipux e Proderj para receber por integração da área logada;Avaliar os impactos e o que precisa feito pelo lado da Quipux e Proderj para utilizar o status solicitação incompleta para conclusão da etapa 1 do serviço “Abertura de Processos de escolas Extintas”.
28/03/2024 15:34;Tarefa;Mar/24 - 2 Novos Serviços Assíncronos - Configurar o serviço “Abertura de Processos de escolas Extintas” em duas etapas;Configurar o serviço “Abertura de Processos de escolas Extintas” em duas etapas: 1) Cidadão abre solicitação enviado documentos/preenchendo formulário. Após aprovado pelo BO Digital inicia a etapa 2, onde o cidadão receberá o arquivo de conclusão pelo BO Digital na etapa 1 (formulário do órgão já preenchido). Inicialmente a assinatura será manual onde o cidadão deverá anexar o arquivo digitalizado, mas devem prever assinatura eletrônica como melhoria. Essa solicitação cai novamente para o BO Digital avaliar e baixar esse arquivo para anexar no sistema do órgão.
05/03/2024 18:49;Tarefa;Mar/24 - 2 Novos Serviços Assíncronos - Templates SMS e e-mail para os novos serviços;"Procon - Atendimento Preliminar

IMO
Escola extinta"
06/03/2024 09:04;Tarefa;Mar/24 - 2 Novos Serviços Assíncronos - Publicação da carta de serviços no Portal RJ;
06/03/2024 09:04;Tarefa;Mar/24 - 2 Novos Serviços Assíncronos - Treinamento e liberação de acessos nos sistemas dos órgãos para atendimento aos novos serviços;
06/03/2024 09:04;Tarefa;Mar/24 - 2 Novos Serviços Assíncronos - Envio dos dados de integração dos novos serviços com Portal RJ;
07/03/2024 18:36;Tarefa;Mensageria - Relatório analítico de acesso nas mensagerias;"Usuários que estão abrindo e-mails
Usuários que estão expcluindo e-mails
Quantos e-mails estão caindo no spam
Quantos usuários clicaram na URL do SMS
e outros"
06/03/2024 09:04;Tarefa;Mar/24 - 2 Novos Serviços Assíncronos - Configuração dos serviços na plataforma;"Procon
16/abril - homologação e produção
24/abril

30-abril homologação e produção
Escola extinta 08/maio

IMO 29/maio"
18/04/2024 15:15;Tarefa;Abril/24 - 12 Novos Serviços Síncronos - Treinamento e liberação de acessos nos sistemas do governo.;
